Function name	Start
sub_820B6540	820B6540
sub_820B6568	820B6568
sub_820B6790	820B6790
sub_820B6A30	820B6A30
sub_820B6BA8	820B6BA8
sub_820B6C18	820B6C18
sub_820B70E0	820B70E0
sub_820B70E8	820B70E8
sub_820B7190	820B7190
sub_820B7350	820B7350
sub_820B7450	820B7450
sub_820B7530	820B7530
sub_820B7920	820B7920
sub_820B7A08	820B7A08
sub_820B7E28	820B7E28
sub_820B7F00	820B7F00
sub_820B8CD8	820B8CD8
sub_820B8D10	820B8D10
sub_820B8D68	820B8D68
sub_820B8DE0	820B8DE0
sub_820B90A0	820B90A0
sub_820B9DC0	820B9DC0
sub_820B9E78	820B9E78
sub_820BA220	820BA220
sub_820BA708	820BA708
sub_820BB018	820BB018
sub_820BB108	820BB108
sub_820BB1F0	820BB1F0
sub_820BB340	820BB340
sub_820BB3F0	820BB3F0
sub_820BB6E0	820BB6E0
sub_820BB930	820BB930
sub_820BBE98	820BBE98
sub_820BC528	820BC528
sub_820BC650	820BC650
sub_820BC6B8	820BC6B8
sub_820BC720	820BC720
sub_820BC790	820BC790
sub_820BC7E8	820BC7E8
sub_820BC840	820BC840
sub_820BC898	820BC898
sub_820BC8F8	820BC8F8
sub_820BC950	820BC950
sub_820BC998	820BC998
sub_820BC9F0	820BC9F0
sub_820BCA58	820BCA58
sub_820BCAB0	820BCAB0
sub_820BCB08	820BCB08
sub_820BCB60	820BCB60
sub_820BCBD8	820BCBD8
sub_820BCC50	820BCC50
sub_820BCD68	820BCD68
sub_820BCEA0	820BCEA0
sub_820BCF00	820BCF00
sub_820BCF60	820BCF60
sub_820BD0C8	820BD0C8
sub_820BD200	820BD200
sub_820BD2C8	820BD2C8
sub_820BD3B8	820BD3B8
sub_820BD4E0	820BD4E0
sub_820BD5D0	820BD5D0
sub_820BD620	820BD620
sub_820BD670	820BD670
sub_820BD6C0	820BD6C0
sub_820BD740	820BD740
sub_820BD788	820BD788
sub_820BD840	820BD840
sub_820BD898	820BD898
sub_820BD8F0	820BD8F0
sub_820BD978	820BD978
sub_820BDAB8	820BDAB8
sub_820BDB88	820BDB88
sub_820BDD68	820BDD68
sub_820BDD98	820BDD98
sub_820BDE18	820BDE18
sub_820BDE60	820BDE60
sub_820BDF58	820BDF58
sub_820BE0B8	820BE0B8
sub_820BE200	820BE200
sub_820BEDC0	820BEDC0
sub_820BEFB8	820BEFB8
sub_820BF048	820BF048
sub_820BF108	820BF108
sub_820BF208	820BF208
sub_820BFDC8	820BFDC8
sub_820C01E8	820C01E8
sub_820C02E0	820C02E0
sub_820C0468	820C0468
sub_820C0540	820C0540
sub_820C06F8	820C06F8
sub_820C08D0	820C08D0
sub_820C0910	820C0910
sub_820C0918	820C0918
sub_820C0928	820C0928
sub_820C0940	820C0940
sub_820C0958	820C0958
sub_820C0960	820C0960
sub_820C0980	820C0980
sub_820C0990	820C0990
sub_820C0998	820C0998
sub_820C09A0	820C09A0
sub_820C09D8	820C09D8
sub_820C0A10	820C0A10
sub_820C0A90	820C0A90
sub_820C0BB0	820C0BB0
sub_820C0CD8	820C0CD8
sub_820C0D78	820C0D78
sub_820C0E00	820C0E00
sub_820C0EE8	820C0EE8
sub_820C0F70	820C0F70
sub_820C1028	820C1028
sub_820C1130	820C1130
sub_820C1208	820C1208
sub_820C12D8	820C12D8
sub_820C1308	820C1308
sub_820C1820	820C1820
sub_820C18E8	820C18E8
sub_820C1998	820C1998
sub_820C1E08	820C1E08
sub_820C1F20	820C1F20
sub_820C2078	820C2078
sub_820C21B0	820C21B0
sub_820C22B8	820C22B8
sub_820C2438	820C2438
sub_820C2610	820C2610
sub_820C2760	820C2760
sub_820C27A8	820C27A8
sub_820C2818	820C2818
sub_820C2890	820C2890
sub_820C2988	820C2988
sub_820C2A80	820C2A80
sub_820C2AB0	820C2AB0
sub_820C2BD0	820C2BD0
sub_820C2CB0	820C2CB0
sub_820C2D50	820C2D50
sub_820C2F70	820C2F70
sub_820C3020	820C3020
sub_820C32A0	820C32A0
sub_820C3308	820C3308
sub_820C3410	820C3410
sub_820C3560	820C3560
sub_820C3630	820C3630
sub_820C3698	820C3698
sub_820C38C8	820C38C8
sub_820C3998	820C3998
sub_820C3A10	820C3A10
sub_820C3AF0	820C3AF0
sub_820C3B70	820C3B70
sub_820C3C38	820C3C38
sub_820C3D88	820C3D88
sub_820C3EA8	820C3EA8
sub_820C4058	820C4058
sub_820C4150	820C4150
sub_820C4298	820C4298
sub_820C43A0	820C43A0
